"";"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"AB[1,1]";0,189;0,465174369023921;0;0;0;0;1;1,00281713863818;2000
"AB[2,1]";1,2495;0,567812429837297;1;1;1;1;3;1,00207462693616;1400
"AB[3,1]";3,48;1,27922562869281;2;3;3;4;6;1,00293557603297;850
"AB[4,1]";1,6515;1,08288229601999;1;1;1;2;4;1,00015720296475;2000
"AB[5,1]";1,78;1,29978641413165;1;1;1;2;4,02237671233806;1,00367169500322;910
"AB[6,1]";2,648;0,81143404698491;2;2;2;3;5;1,00014547416094;2000
"AB[7,1]";1,4125;0,75804423718722;1;1;1;2;3;1,00162469691486;1500
"AB[8,1]";0,251;0,545112441416345;0;0;0;0;2;1,01075987652068;990
"AB[9,1]";1,235;0,517599221866919;1;1;1;1;3;1,00015740941143;2000
"AB[10,1]";0,131;0,376709377342114;0;0;0;0;1;1,00778813255065;1200
"AB[11,1]";1,226;0,483777862774089;1;1;1;1;2;1,00320568219714;1100
"AB[12,1]";1,2295;0,476385580817482;1;1;1;1;2;1,00008925769892;2000
"AB[13,1]";0,0725000000000001;0,285104177794889;0;0;0;0;1;1,00916488976191;1200
"AB[14,1]";0,194;0,49647481670455;0;0;0;0;2;1,00678189440381;1300
"AB[15,1]";0,1175;0,369813643698455;0;0;0;0;1;1,00528801143774;1800
"AB[16,1]";0,188;0,482464906695918;0;0;0;0;1;1,01381229007714;1700
"AB[17,1]";1,655;0,80268122475506;1;1;1;2;3;1,00033347408;2000
"AB[18,1]";0,0865000000000001;0,313156164543664;0;0;0;0;1;1,01052494742787;1200
"AB[19,1]";0,322;0,746722704488558;0;0;0;0;2;1,03969280711323;2000
"AB[20,1]";1,8355;1,45103152834392;1;1;1;2;5;1,00036960548221;2000
"AB[21,1]";2,808;2,29995236699482;1;1;2;3;8;1,0043965181367;570
"AB[22,1]";1,7805;2,77365577048891;0;0;1;2;8;1,01296273649309;2000
"AB[23,1]";0,3215;0,693093023316125;0;0;0;0;2;1,02309895609971;2000
"AB[24,1]";0,497;0,93189334830028;0;0;0;1;3;1,01042329224567;2000
"AB[25,1]";2,791;2,70240087426765;1;1;2;3;8,02359132330631;1,00290510583718;860
"AB[26,1]";2,6875;2,45476204108243;1;1;2;3;9;1,00254190210044;990
"AB[27,1]";1,4395;0,877909512738225;1;1;1;2;3;1,00303698066711;880
"AB[28,1]";1,386;0,688651668523561;1;1;1;2;3;1,00224636701491;1200
"AB[29,1]";3,427;1,21754351302246;2;3;3;4;6;1,00061261004657;2000
"AB[30,1]";0,8615;1,39688703791623;0;0;0;1;4;1,02931148005252;1100
"AB[31,1]";4,398;2,74323872080788;2;3;4;5;11;1,00359347907884;700
"AB[32,1]";3,222;1,23510272421758;2;2;3;4;6;1,0005327525506;2000
"AB[33,1]";1,23;0,535951137521801;1;1;1;1;3;1,00303356770644;1100
"AB[34,1]";0,168;0,451528447575;0;0;0;0;1;1,00904225616743;1600
"AB[35,1]";1,5155;0,821033981269466;1;1;1;2;4;1,00044505973946;2000
"AB[36,1]";1,518;0,926879470468719;1;1;1;2;4;1,00126535449086;2000
"AB[37,1]";1,2885;2,21466026967005;0;0;1;2;6;1,04646910201964;1000
"AB[38,1]";0,267;0,601574555622972;0;0;0;0;2;1,00914746392891;1200
"AB[39,1]";0,1285;0,391234305935809;0;0;0;0;1;1,00440412608315;2000
"AB[40,1]";0,128;0,366992291023709;0;0;0;0;1;1,00087213871569;2000
"AB[41,1]";1,301;0,635295836913951;1;1;1;1;3;1,00225070852577;1500
"AB[42,1]";0,616;1,06588557360909;0;0;0;1;3;1,02201121226098;2000
"AB[43,1]";0,404;0,836142073324496;0;0;0;1;2;1,01448791727005;2000
"AB[44,1]";1,3185;0,638170338303451;1;1;1;2;3;1,00007320395638;2000
"AB[45,1]";0,0979999999999999;0,333843864497955;0;0;0;0;1;1,00098385258113;2000
"AB[46,1]";0,098;0,333843864497955;0;0;0;0;1;1,00079040797445;2000
"AB[47,1]";0,287;0,641745213039593;0;0;0;0;2;1,01284388442446;910
"AB[48,1]";3,331;1,2799445804661;2;2;3;4;6;1,00178648651768;1400
"AB[49,1]";4,09;1,55824069290611;2;3;4;5;8;1,00318540597386;790
"AB[50,1]";0,195;0,505076777604793;0;0;0;0;1;1,00617996656455;1700
"AB[51,1]";1,097;0,331128106495747;1;1;1;1;2;1,00979547342604;860
"AB[52,1]";0,0915000000000001;0,324315186462316;0;0;0;0;1;1,01169445037155;1500
"AB[1,2]";1,6215;0,784567092581238;1;1;1;2;4;1,00113986956301;2000
"AB[2,2]";2,4885;0,732212959397037;2;2;2;3;4;1,0009608019914;2000
"AB[3,2]";1,306;0,60460464221397;1;1;1;1;3;1,00026254702917;2000
"AB[4,2]";0,31;0,620558253730562;0;0;0;0;2;1,00096371055111;2000
"AB[5,2]";1,7375;0,795556537967325;1;1;2;2;4;1,00226697626915;1100
"AB[6,2]";2,58;0,769997693648564;2;2;2;3;5;1,00164577727924;1500
"AB[7,2]";1,416;0,659667780621715;1;1;1;2;3;1,00152430846013;1600
"AB[8,2]";1,2775;0,548310196910489;1;1;1;1;3;1,0001808878424;2000
"AB[9,2]";2,302;0,557630232087416;2;2;2;3;4;1,0009474458286;2000
"AB[10,2]";1,275;0,547288554951758;1;1;1;1;3;1,00076463431823;2000
"AB[11,2]";2,154;0,939002056670374;1;1;2;3;4;1,00073973577482;2000
"AB[12,2]";1,288;0,552456880038748;1;1;1;1;3;1,00001778490533;2000
"AB[13,2]";2,3055;0,59694884534773;2;2;2;2;4;1,00260453095678;1100
"AB[14,2]";1,3275;0,602847794000573;1;1;1;2;3;1,00071477334694;2000
"AB[15,2]";3,318;0,59586368135958;3;3;3;4;5;1,00075464333567;2000
"AB[16,2]";1,2925;0,559553661546485;1;1;1;1;3;1,00050495687267;2000
"AB[17,2]";1,2775;0,554659872162115;1;1;1;1;3;1,00001469508348;2000
"AB[18,2]";1,2995;0,583069236769899;1;1;1;1;3;1,00099309502405;2000
"AB[19,2]";4,597;1,11678762855955;3;4;4;5;7;1,00064246745599;2000
"AB[20,2]";0,2885;0,561627512441624;0;0;0;0;2;1,00168251665109;2000
"AB[21,2]";2,4015;0,651544323129658;2;2;2;3;4;1,00060617871396;2000
"AB[22,2]";2,4565;0,745241868604652;2;2;2;3;4;1,00052169592019;2000
"AB[23,2]";1,567;0,931635643632327;1;1;1;2;4;1,00137140581843;2000
"AB[24,2]";0,4435;0,756368823325262;0;0;0;1;2;1,00173283088892;2000
"AB[25,2]";1,4165;0,696613512065763;1;1;1;2;3;1,00051748307097;2000
"AB[26,2]";1,329;0,599949139081599;1;1;1;2;3;1,00169525577153;1500
"AB[27,2]";1,4265;0,694866296192874;1;1;1;2;3;1,00118413481426;2000
"AB[28,2]";3,7835;0,897234788186766;3;3;4;4;6;1,00074590713217;2000
"AB[29,2]";0,257;0,528290209328779;0;0;0;0;2;1,00263668537165;2000
"AB[30,2]";0,2515;0,506335795662315;0;0;0;0;2;1,00138760754775;2000
"AB[31,2]";4,5385;0,746857850145633;4;4;4;5;6;1,00103325239296;2000
"AB[32,2]";0,2695;0,546826535228314;0;0;0;0;2;1,00046767932738;2000
"AB[33,2]";0,268;0,52565593031805;0;0;0;0;2;1,00086654056412;2000
"AB[34,2]";0,2695;0,544993815680097;0;0;0;0;2;1,00415908562319;1100
"AB[35,2]";0,2865;0,56971926421704;0;0;0;0;2;1,00089854216138;2000
"AB[36,2]";2,372;0,625149106776004;2;2;2;3;4;1,00169348079298;1500
"AB[37,2]";0,2285;0,501411464496346;0;0;0;0;2;1,00050373857988;2000
"AB[38,2]";0,277;0,549018862021544;0;0;0;0;2;1,00608003676811;850
"AB[39,2]";0,2485;0,518538514572976;0;0;0;0;2;1,0050051704615;1600
"AB[40,2]";0,2695;0,53198802207174;0;0;0;0;2;1,0013084344304;1900
"AB[41,2]";1,2645;0,528847416364025;1;1;1;1;3;1,00152662105998;1800
"AB[42,2]";0,2455;0,492291504560786;0;0;0;0;1;1,0069507918943;740
"AB[43,2]";2,371;0,636051319187627;2;2;2;3;4;1,00013218824353;2000
"AB[44,2]";0,2535;0,519973976722144;0;0;0;0;2;1,00184022088819;2000
"AB[45,2]";3,5605;1,10496616469127;2;3;3;4;6;1,00138518264127;1800
"AB[46,2]";4,9225;1,20258756788402;3;4;5;6;8;1,00185504732241;1300
"AB[47,2]";4,4455;1,27861142400135;2;4;4;5;7;1,00105951975702;2000
"AB[48,2]";1,383;0,62730196387142;1;1;1;2;3;1,00270834576737;920
"AB[49,2]";0,2605;0,52227975077447;0;0;0;0;2;1,0010519269075;2000
"AB[50,2]";1,2705;0,543578410851977;1;1;1;1;3;1,00133440739715;1900
"AB[51,2]";0,265;0,55850780252629;0;0;0;0;2;1,00061825493972;2000
"AB[52,2]";0,2605;0,546616085175227;0;0;0;0;2;1,00509187225664;2000
"AB[53,2]";1,283;0,567513908215483;1;1;1;1;3;1,00100288158465;2000
"AB[54,2]";2,6975;0,808901051090455;2;2;3;3;5;1,00113825547452;2000
"AB[55,2]";0,2685;0,533432305932546;0;0;0;0;2;1,00107451357237;2000
"AB[56,2]";0,2705;0,551798868244115;0;0;0;0;2;1,00045375213547;2000
"AB[57,2]";0,268;0,530392928242035;0;0;0;0;2;1,00616852504292;640
"AB[58,2]";0,258;0,527802318717747;0;0;0;0;2;1,00072764394997;2000
"AB[59,2]";0,257;0,543229738945362;0;0;0;0;2;1,00104370675994;2000
"AB[1,3]";0,7395;0,960781609238187;0;0;0;1;3;1,00156773172943;1700
"AB[2,3]";4,005;1,40675672461201;2;3;4;5;7;1,00301042911676;830
"AB[3,3]";3,5905;1,23067746933009;2;3;3;4;6;1,00148674373186;1700
"AB[4,3]";1,7545;0,877276784873883;1;1;2;2;4;1,00135804798647;1800
"AB[5,3]";2,245;1,08469501780032;1;1;2;3;5;1,00031601809607;2000
"AB[6,3]";3,33;1,15228637149841;2;2;3;4;6;1,00029748591679;2000
"AB[7,3]";3,3095;1,10286803786966;2;3;3;4;6;1,00228558177288;1200
"AB[8,3]";3,5685;0,798515224201538;3;3;3;4;6;1,00116122729954;2000
"AB[9,3]";2,8045;0,949068024462691;2;2;3;3;5;1,00026346919128;2000
"AB[10,3]";3,279;1,1932606318268;2;2;3;4;6;1,00035910851144;2000
"AB[11,3]";0,6175;0,86693110151118;0;0;0;1;3;1,00206642558537;1200
"AB[12,3]";0,6325;0,83773184690787;0;0;0;1;3;1,00364725362759;2000
"AB[13,3]";0,5945;0,808948050541086;0;0;0;1;3;1,00105467935108;2000
"AB[14,3]";2,0295;1,07294238087435;1;1;2;3;5;1,00090408171113;2000
"AB[15,3]";0,5995;0,865721945686727;0;0;0;1;3;1,00261044645783;2000
"AB[16,3]";0,8205;0,972498136920139;0;0;1;1;3;1,00307214242308;820
"AB[17,3]";0,703500000000001;0,888809732941018;0;0;0;1;3;1,0005525104252;2000
"AB[18,3]";0,6405;0,875581561898018;0;0;0;1;3;1,00255515406605;1200
"AB[19,3]";0,6135;0,820642722040853;0;0;0;1;3;1,00146028899181;1700
"AB[20,3]";1,667;0,868036718043632;1;1;1;2;4;1,00203750404909;1200
"AB[21,3]";2,657;0,85364826344277;2;2;2;3;5;1,00099305942683;2000
"AB[22,3]";1,5665;0,771929846452329;1;1;1;2;3;1,00157631548407;1600
"AB[23,3]";1,7415;0,907242687844514;1;1;2;2;4;1,00119377862838;2000
"AB[24,3]";0,697;0,876684257668537;0;0;0;1;3;1,0038620743682;1100
"AB[25,3]";3,044;1,04910166673853;2;2;3;4;6;1,00164715262721;1500
"AB[26,3]";0,649;0,837943956978954;0;0;0;1;3;1,00203041752849;2000
"AB[27,3]";0,5365;0,791821470168814;0;0;0;1;2;1,00346747731331;1100
"AB[28,3]";5,36;1,27992933771939;3;4;5;6;8;1,00223955945962;2000
"AB[29,3]";0,4455;0,724770581769231;0;0;0;1;2;1,00053804861359;2000
"AB[30,3]";2,8475;0,955353390138972;2;2;3;3;5;1,00194132719349;1300
"AB[31,3]";3,0335;1,01975374421936;2;2;3;4;5;1,00102414359712;2000
"AB[32,3]";1,4675;0,720557667141107;1;1;1;2;3;1,00065883219085;2000
"AB[33,3]";0,37;0,664319697382335;0;0;0;1;2;1,0018119200907;2000
"AB[34,3]";1,61;0,826584309559783;1;1;1;2;4;1,00069467570249;2000
"AB[35,3]";1,5555;0,803269799747;1;1;1;2;4;1,00072865466931;2000
"AB[36,3]";1,419;0,678726259008258;1;1;1;2;3;1,00048419160324;2000
"AB[37,3]";1,6285;0,825729171297811;1;1;1;2;4;1,00056367005714;2000
"AB[38,3]";2,8945;0,926174200312577;2;2;3;3;5;1,00098368223741;2000
"AB[39,3]";4,943;1,33627984416098;3;4;5;6;8;1,00068233390657;2000
"AB[40,3]";3,429;1,20028302481949;2;3;3;4;6;1,00013682224799;2000
"AB[41,3]";0,479499999999999;0,739495217420839;0;0;0;1;2;1,00806927913206;390
"AB[42,3]";2,562;0,789599730158843;2;2;2;3;4;1,00294047820285;850
"AB[43,3]";0,7715;0,946433102659086;0;0;1;1;3;1,00086573169187;2000
"AB[44,3]";0,4495;0,696916491624451;0;0;0;1;2;1,0005409482041;2000
"AB[45,3]";0,3395;0,602014086612799;0;0;0;1;2;1,00153711870933;1600
"AB[46,3]";0,4525;0,728703818178067;0;0;0;1;2;1,00719278064985;590
"AB[47,3]";3,617;1,29001669428569;2;3;3;4;7;1,00219183546424;1100
"AB[48,3]";3,9785;1,05905549867542;3;3;4;5;7;1,0020027701911;1200
"AB[49,3]";1,5175;0,769408698204299;1;1;1;2;3,0216539301892;1,00156670600088;1600
"AB[50,3]";1,679;0,899090196582527;1;1;1;2;4;1,00037463404138;2000
"AB[51,3]";0,5885;0,805290007387402;0;0;0;1;2;1,00089961694831;2000
"AB[52,3]";2,6625;0,837821414360579;2;2;2;3;5;1,00108009909491;2000
"AB[53,3]";0,563;0,801468761766815;0;0;0;1;3;1,00089705646774;2000
"AB[54,3]";3,1865;1,2245274532414;1;2;3;4;6;1,00077959737283;2000
"AB[55,3]";0,3425;0,608587659642989;0;0;0;1;2;1,00166578399794;2000
"AB[56,3]";0,516;0,764876799399181;0;0;0;1;2;1,00092964067047;2000
"AB[57,3]";1,6535;0,846047071872437;1;1;1;2;4;1,00154573230969;1600
"AB[58,3]";2,59;0,815004365668082;2;2;2;3;5;1,00129980307072;1900
"AB[59,3]";0,407;0,653884379987162;0;0;0;1;2;1,00020178145649;2000
"AB[60,3]";4,017;1,34373130011303;2;3;4;5;7;1,00223093853355;1100
"AB[1,4]";0,3905;0,688655845424063;0;0;0;1;2;1,00200488808785;2000
"AB[2,4]";0,135;0,387104540095409;0;0;0;0;1;1,00076751145369;2000
"AB[3,4]";0,201;0,467662649970127;0;0;0;0;1;1,00357382929521;1700
"AB[4,4]";0,181;0,441969080744529;0;0;0;0;1;1,00102639517335;2000
"AB[5,4]";0,231;0,502757777355402;0;0;0;0;2;1,00187140321222;2000
"AB[6,4]";0,2765;0,561431520914466;0;0;0;0;2;1,00133273093143;2000
"AB[7,4]";0,3005;0,597811374280898;0;0;0;0;2;1,00166432665163;2000
"AB[8,4]";0,292;0,591532717165963;0;0;0;0;2;1,00074221295869;2000
"AB[9,4]";0,451;0,727917531019815;0;0;0;1;2;1,00073463211724;2000
"AB[10,4]";0,29;0,583155240924326;0;0;0;0;2;1,00056111535662;2000
"AB[11,4]";0,1975;0,4489928142784;0;0;0;0;1;1,00057934928435;2000
"AB[12,4]";0,2155;0,479765398313285;0;0;0;0;1;1,00268302376468;2000
"AB[13,4]";0,316;0,577330629126557;0;0;0;1;2;1,00837270797228;840
"AB[14,4]";0,292;0,582155866350559;0;0;0;0;2;1,00056305458681;2000
"AB[15,4]";0,2585;0,579521934732762;0;0;0;0;2;1,00139876757952;2000
"AB[16,4]";0,3085;0,599589445997748;0;0;0;0;2;1,00011006994523;2000
"AB[17,4]";0,715999999999999;0,956975392029757;0;0;0;1;3;1,0066386949147;870
"AB[18,4]";0,382;0,660525659663232;0;0;0;1;2;1,00178685397048;1500
"AB[19,4]";0,2475;0,515147006415748;0;0;0;0;2;1,00034943121672;2000
"AB[20,4]";0,308;0,592715493156634;0;0;0;0;2;1,00108906948353;2000
"AB[21,4]";0,369;0,644241044378294;0;0;0;1;2;1,00052149373909;2000
"AB[22,4]";0,397;0,690383454796912;0;0;0;1;2;1,00078535458775;2000
"AB[23,4]";2,49;0,734962641936657;2;2;2;3;4;1,00021425007334;2000
"AB[24,4]";1,632;0,933279971794562;1;1;1;2;4;1,00022290432152;2000
"AB[25,4]";2,3195;0,600499833492898;2;2;2;3;4;1,0012326250394;2000
"AB[26,4]";1,633;0,853038590814462;1;1;1;2;4;1,0003034132317;2000
"AB[27,4]";2,743;1,28793648531094;1;2;3;3;6;1,00027346562163;2000
"AB[28,4]";0,5425;0,817023569890668;0;0;0;1;3;1,0012417392443;2000
"AB[29,4]";0,579;0,858561333733294;0;0;0;1;3;1,00315407307222;2000
"AB[30,4]";5,9185;1,29332675571507;4;5;6;7;9;1,00320765578922;780
"AB[31,4]";5,9535;1,36318263025969;4;5;6;7;9;1,00029132813126;2000
"AB[32,4]";2,492;1,12497501500799;1;2;2;3;5;1,00020568836317;2000
"AB[33,4]";0,3835;0,64779438773764;0;0;0;1;2;1,00029658014349;2000
"AB[34,4]";5,134;1,9720518487725;3;4;5;6;10;1,00372433940586;670
"AB[35,4]";0,348;0,636473525980953;0;0;0;1;2;1,00336910544764;1300
"AB[36,4]";0,674;0,909471037903013;0;0;0;1;3;1,00049622031473;2000
"AB[37,4]";0,522499999999999;0,790446805975284;0;0;0;1;3;1,00149946023025;1700
