"","region","species","mean_value","sd_value","count_obs"
"1","PNI","Cabass",0.0191525423728814,0.00397215983688034,59
"2","PNI","Certho",0.0704915254237288,0.130520393819531,59
"3","PNI","Tapter",2.07979661016949,0.821320525857723,59
"4","PNI","Didelp",3.29458474576271,1.299286031238,59
"5","PNI","Dasypr",10.3121779661017,2.15237688734938,59
"6","PNI","Cunpac",0.1645,0.26944481553871,59
"7","PNI","Procan",0.0715,0.13196067857379,59
"8","PNI","Myrtri",0.0710762711864407,0.133960455229021,59
"9","PNI","Tamtet",0.0162542372881356,0.00346332121016698,59
"10","PNI","Dasypu",0.523610169491525,0.562168761228952,59
"11","PNI","Mazama",6.94874576271186,1.86732392045519,59
"12","PNI","Nasnas",0.605576271186441,0.488007930029895,59
"13","PNI","Dictaj",3.07536440677966,0.909026150142181,59
"14","PNI","Taypec",0.0192796610169492,0.0038799564368785,59
"15","PECB","Cabass",0.0187416666666667,0.0057618644483278,60
"16","PECB","Certho",0.020325,0.00694885980160579,60
"17","PECB","Tapter",2.448425,1.79810722004783,60
"18","PECB","Didelp",1.22793333333333,1.92540427510663,60
"19","PECB","Dasypr",0.0198666666666667,0.00862488843782756,60
"20","PECB","Cunpac",0.874108333333333,0.812142730273539,60
"21","PECB","Procan",0.208433333333333,0.322691665114647,60
"22","PECB","Myrtri",0.0204083333333334,0.00582039930095857,60
"23","PECB","Tamtet",0.241591666666667,0.336491688915253,60
"24","PECB","Dasypu",2.00985833333333,1.63771484317524,60
"25","PECB","Mazama",1.91025833333333,0.990717846626522,60
"26","PECB","Nasnas",0.0177583333333333,0.00524040015507507,60
"27","PECB","Dictaj",0.524358333333333,0.448009591412031,60
"28","PECB","Taypec",0.506691666666667,0.349269844827248,60
"29","PNG","Cabass",0.186175,0.220239338052131,40
"30","PNG","Certho",0.02235,0.00493184315677992,40
"31","PNG","Tapter",0.6690125,0.822184562594037,40
"32","PNG","Didelp",0.0201,0.00518899229385062,40
"33","PNG","Dasypr",0.0213,0.0058219302464794,40
"34","PNG","Cunpac",0.82425,0.677325386713933,40
"35","PNG","Procan",0.01995,0.00542879313216067,40
"36","PNG","Myrtri",0.0215875,0.00557568841328596,40
"37","PNG","Tamtet",0.6487375,0.418359402408185,40
"38","PNG","Dasypu",0.596625,0.592604548279057,40
"39","PNG","Mazama",0.79085,0.741742786644037,40
"40","PNG","Nasnas",0.096875,0.164078184537207,40
"41","PNG","Dictaj",0.0218875,0.00466092251790873,40
"42","PNG","Taypec",1.418175,1.35524773281777,40
"43","NSV","Cabass",0.124241666666667,0.220804662726857,60
"44","NSV","Certho",0.00657500000000002,0.00188397569166368,60
"45","NSV","Tapter",0.588625,0.69689009921318,60
"46","NSV","Didelp",0.5983,0.764309271638036,60
"47","NSV","Dasypr",0.198341666666667,0.441476946167266,60
"48","NSV","Cunpac",0.973708333333333,0.866259988039694,60
"49","NSV","Procan",0.00720000000000002,0.00197698623573134,60
"50","NSV","Myrtri",0.00665000000000001,0.00181168523475534,60
"51","NSV","Tamtet",0.412341666666667,0.356124674556094,60
"52","NSV","Dasypu",0.28335,0.306515812349606,60
"53","NSV","Mazama",0.00649166666666669,0.00224833585664904,60
"54","NSV","Nasnas",0.245791666666667,0.395632922355322,60
"55","NSV","Dictaj",0.881025,0.877123570450015,60
"56","NSV","Taypec",0.00690000000000001,0.0020477354172312,60
"57","PETAR","Cabass",0.0118181818181818,0.00405216407244742,55
"58","PETAR","Certho",0.0111272727272727,0.00294269053918816,55
"59","PETAR","Tapter",0.0133090909090909,0.00351779985572174,55
"60","PETAR","Didelp",0.228981818181818,0.418237793025871,55
"61","PETAR","Dasypr",0.0128,0.00334802318678638,55
"62","PETAR","Cunpac",0.630263636363636,0.776421318272504,55
"63","PETAR","Procan",0.0107818181818182,0.00328543874453744,55
"64","PETAR","Myrtri",0.0129636363636364,0.00313116731494961,55
"65","PETAR","Tamtet",0.326109090909091,0.326285217921903,55
"66","PETAR","Dasypu",0.325163636363636,0.437510973984542,55
"67","PETAR","Mazama",0.702672727272727,0.661509022769446,55
"68","PETAR","Nasnas",0.341854545454545,0.361840622178585,55
"69","PETAR","Dictaj",0.671863636363636,0.419456884891437,55
"70","PETAR","Taypec",0.103409090909091,0.249786855266591,55
"71","NITA","Cabass",0.00571568627450981,0.00424529728283047,51
"72","NITA","Certho",0.00525490196078433,0.00468868057028799,51
"73","NITA","Tapter",0.00653921568627452,0.00532056682812545,51
"74","NITA","Didelp",0.466666666666667,0.764756370791814,51
"75","NITA","Dasypr",0.00521568627450982,0.00443199154101267,51
"76","NITA","Cunpac",0.324666666666667,0.433059991994951,51
"77","NITA","Procan",0.00549019607843138,0.00430754012874915,51
"78","NITA","Myrtri",0.0058529411764706,0.00442413168615837,51
"79","NITA","Tamtet",0.00587254901960785,0.00461285501317231,51
"80","NITA","Dasypu",0.226313725490196,0.413383223665213,51
"81","NITA","Mazama",0.131264705882353,0.309853906751895,51
"82","NITA","Nasnas",0.323980392156863,0.469902851244641,51
"83","NITA","Dictaj",0.326323529411765,0.642425869836586,51
"84","NITA","Taypec",0.0063529411764706,0.00495509244883187,51
"85","LA","Cabass",0.00311666666666668,0.00111373043427303,60
"86","LA","Certho",0.00387500000000001,0.00158013354938698,60
"87","LA","Tapter",0.962616666666667,0.783169805205302,60
"88","LA","Didelp",0.00359166666666668,0.00146857381140616,60
"89","LA","Dasypr",0.00330833333333334,0.00126588773254678,60
"90","LA","Cunpac",0.294858333333333,0.467870510222816,60
"91","LA","Procan",0.00355000000000001,0.00147780184905986,60
"92","LA","Myrtri",0.00318333333333335,0.00148713883713121,60
"93","LA","Tamtet",0.00402500000000001,0.00192535490895152,60
"94","LA","Dasypu",0.00333333333333334,0.00146329864957674,60
"95","LA","Mazama",0.264416666666667,0.473660968707404,60
"96","LA","Nasnas",0.00365000000000001,0.00160586847510064,60
"97","LA","Dictaj",0.306491666666667,0.46384840535429,60
"98","LA","Taypec",0.00352500000000001,0.00168348156196958,60
"99","EEB","Cabass",0.00222881355932205,0.00140909005212066,59
"100","EEB","Certho",0.00354237288135594,0.00221532307831632,59
"101","EEB","Tapter",0.00280508474576273,0.00159475689735453,59
"102","EEB","Didelp",0.0882796610169492,0.267145918915088,59
"103","EEB","Dasypr",0.00338983050847458,0.00247412087592913,59
"104","EEB","Cunpac",0.432771186440678,0.633151384101739,59
"105","EEB","Procan",0.00222881355932205,0.00135290885176803,59
"106","EEB","Myrtri",0.00294067796610171,0.00149448626210133,59
"107","EEB","Tamtet",0.0026949152542373,0.00142337914216469,59
"108","EEB","Dasypu",0.210771186440678,0.353692801176021,59
"109","EEB","Mazama",0.00298305084745764,0.00182880708644704,59
"110","EEB","Nasnas",0.148889830508475,0.324441231432472,59
"111","EEB","Dictaj",0.407491525423729,0.59845331171801,59
"112","EEB","Taypec",0.14028813559322,0.370609460811534,59
"113","APA-SFX","Cabass",0.00463461538461539,0.00291566994389273,52
"114","APA-SFX","Certho",0.00439423076923079,0.00332892336487802,52
"115","APA-SFX","Tapter",0.0043846153846154,0.00295491512206057,52
"116","APA-SFX","Didelp",0.348961538461538,0.568901253071749,52
"117","APA-SFX","Dasypr",0.00405769230769232,0.00285199250293586,52
"118","APA-SFX","Cunpac",0.378240384615385,0.585740937603104,52
"119","APA-SFX","Procan",0.0057596153846154,0.00387486923829389,52
"120","APA-SFX","Myrtri",0.0043846153846154,0.00303834220893273,52
"121","APA-SFX","Tamtet",0.00551923076923078,0.00331804563676603,52
"122","APA-SFX","Dasypu",0.486644230769231,0.730759887448208,52
"123","APA-SFX","Mazama",0.0042596153846154,0.00256004439417578,52
"124","APA-SFX","Nasnas",0.00409615384615386,0.00315302292165705,52
"125","APA-SFX","Dictaj",0.00480769230769232,0.00362339057734853,52
