"region";"species";"mean_value";"sd_value";"count_obs"
"1";"PNI";"Cabass";0.0191525423728814;0.00501313295710251;59
"2";"PNI";"Certho";0.0706779661016949;0.131173278486494;59
"3";"PNI";"Tapter";2.07898305084746;0.821578998899017;59
"4";"PNI";"Didelp";3.29474576271186;1.29931063410724;59
"5";"PNI";"Dasypr";10.3120338983051;2.1525772681562;59
"6";"PNI";"Cunpac";0.164406779661017;0.269330403334158;59
"7";"PNI";"Procan";0.0720338983050847;0.132401943691027;59
"8";"PNI";"Mirtri";0.0715254237288136;0.133852898662751;59
"9";"PNI";"Tamtet";0.0167796610169492;0.00506532429642337;59
"10";"PNI";"Dasypu";0.523728813559322;0.561883833573566;59
"11";"PNI";"Mazama";6.94898305084746;1.86791853078201;59
"12";"PNI";"Nasnas";0.605593220338983;0.487326525055028;59
"13";"PNI";"Dictaj";3.07542372881356;0.908756865996731;59
"14";"PNI";"Taypec";0.0198305084745763;0.00473123349948521;59
"15";"PECB";"Cabass";0.0186666666666667;0.00595652801459882;60
"16";"PECB";"Certho";0.0205;0.00723105356038941;60
"17";"PECB";"Tapter";2.44883333333333;1.79817901454821;60
"18";"PECB";"Didelp";1.22733333333333;1.9252381465429;60
"19";"PECB";"Dasypr";0.0196666666666667;0.00938203596614597;60
"20";"PECB";"Cunpac";0.874166666666667;0.812565077793599;60
"21";"PECB";"Procan";0.208666666666667;0.322582096588679;60
"22";"PECB";"Mirtri";0.0213333333333333;0.00535729082389144;60
"23";"PECB";"Tamtet";0.241833333333333;0.33647974057766;60
"24";"PECB";"Dasypu";2.01;1.63785411490002;60
"25";"PECB";"Mazama";1.91;0.990668324321293;60
"26";"PECB";"Nasnas";0.0178333333333333;0.00640224183899451;60
"27";"PECB";"Dictaj";0.523833333333333;0.447464009220879;60
"28";"PECB";"Taypec";0.507166666666667;0.348965015325181;60
"29";"PNG";"Cabass";0.1865;0.220006410163023;40
"30";"PNG";"Certho";0.022;0.00516397779494322;40
"31";"PNG";"Tapter";0.66925;0.82186588056752;40
"32";"PNG";"Didelp";0.02;0.00599144689515278;40
"33";"PNG";"Dasypr";0.02175;0.00549475274168981;40
"34";"PNG";"Cunpac";0.82425;0.677540376316026;40
"35";"PNG";"Procan";0.01975;0.00576794857546691;40
"36";"PNG";"Mirtri";0.02225;0.00576794857546691;40
"37";"PNG";"Tamtet";0.649;0.419253304499003;40
"38";"PNG";"Dasypu";0.59575;0.591984439764321;40
"39";"PNG";"Mazama";0.79125;0.741831370360732;40
"40";"PNG";"Nasnas";0.09675;0.163462337856266;40
"41";"PNG";"Dictaj";0.02275;0.00505736325340815;40
"42";"PNG";"Taypec";1.4185;1.35572206137258;40
"43";"NSV";"Cabass";0.124;0.220601642663337;60
"44";"NSV";"Certho";0.00883333333333333;0.00323731771513093;60
"45";"NSV";"Tapter";0.588166666666667;0.696853683707832;60
"46";"NSV";"Didelp";0.598666666666667;0.76401585454014;60
"47";"NSV";"Dasypr";0.198833333333333;0.440820081929996;60
"48";"NSV";"Cunpac";0.974166666666667;0.865961387299564;60
"49";"NSV";"Procan";0.00916666666666667;0.00278717806785302;60
"50";"NSV";"Mirtri";0.00833333333333333;0.00375823014001414;60
"51";"NSV";"Tamtet";0.4125;0.356011926099989;60
"52";"NSV";"Dasypu";0.283166666666667;0.306939466602443;60
"53";"NSV";"Mazama";0.008;0.00403375587271689;60
"54";"NSV";"Nasnas";0.245666666666667;0.395959964876893;60
"55";"NSV";"Dictaj";0.881;0.877001246544541;60
"56";"NSV";"Taypec";0.00833333333333333;0.00375823014001414;60
"57";"PETAR";"Cabass";0.0123636363636364;0.00469973851267728;55
"58";"PETAR";"Certho";0.0112727272727273;0.00336349986073009;55
"59";"PETAR";"Tapter";0.0129090909090909;0.00458367767301552;55
"60";"PETAR";"Didelp";0.229454545454545;0.418203468916915;55
"61";"PETAR";"Dasypr";0.0127272727272727;0.00449466574975495;55
"62";"PETAR";"Cunpac";0.63;0.77609182350964;55
"63";"PETAR";"Procan";0.0109090909090909;0.00348155311911396;55
"64";"PETAR";"Mirtri";0.0123636363636364;0.00428763785595733;55
"65";"PETAR";"Tamtet";0.326363636363636;0.325925256350705;55
"66";"PETAR";"Dasypu";0.325090909090909;0.437479619534919;55
"67";"PETAR";"Mazama";0.702727272727273;0.661934467343437;55
"68";"PETAR";"Nasnas";0.341636363636364;0.361584801980903;55
"69";"PETAR";"Dictaj";0.672363636363636;0.419889595878813;55
"70";"PETAR";"Taypec";0.103454545454545;0.249949759261501;55
"71";"NITA";"Cabass";0.00450980392156863;0.00576670633557703;51
"72";"NITA";"Certho";0.00411764705882353;0.00605853797156882;51
"73";"NITA";"Tapter";0.00588235294117647;0.00668624575923898;51
"74";"NITA";"Didelp";0.466862745098039;0.76410075303216;51
"75";"NITA";"Dasypr";0.00431372549019608;0.00538698504203764;51
"76";"NITA";"Cunpac";0.324901960784314;0.433863446485272;51
"77";"NITA";"Procan";0.00509803921568627;0.00578707145959261;51
"78";"NITA";"Mirtri";0.00509803921568627;0.00578707145959261;51
"79";"NITA";"Tamtet";0.00490196078431373;0.00612292381778766;51
"80";"NITA";"Dasypu";0.226078431372549;0.413884420732999;51
"81";"NITA";"Mazama";0.130588235294118;0.309815504871566;51
"82";"NITA";"Nasnas";0.323921568627451;0.470221558124987;51
