"";"region";"deployment";"AccessCost";"Elevation";"EVIdiv_shan";"EVIdiv_simp"
"1";"PNI";"PNI_1";0,41799;156;20248;8467
"2";"PNI";"PNI_2";0,299698;217;21728;8725
"3";"PNI";"PNI_3";0,286613;187;17873;7955
"4";"PNI";"PNI_4";0,352975;154;19336;8349
"5";"PNI";"PNI_5";0,402511;194;15960;7485
"6";"PNI";"PNI_6";0,323504;189;16025;7396
"7";"PNI";"PNI_7";0,532482;198;12017;6178
"8";"PNI";"PNI_8";0,339516;226;12285;6617
"9";"PNI";"PNI_9";0,390654;206;12506;6708
"10";"PNI";"PNI_10";0,612572;206;12330;6648
"11";"PNI";"PNI_11";0,427784;218;13399;6945
"12";"PNI";"PNI_12";0,364843;227;14554;7429
"13";"PNI";"PNI_13";0,416046;210;14108;7188
"14";"PNI";"PNI_14";0,497587;195;15363;7010
"15";"PNI";"PNI_15";0,710626;225;10775;6059
"16";"PNI";"PNI_16";0,505127;233;14821;7535
"17";"PNI";"PNI_17";0,407804;242;14311;7297
"18";"PNI";"PNI_18";0,416046;231;15430;7584
"19";"PNI";"PNI_19";0,38092;217;16675;7925
"20";"PNI";"PNI_20";0,391909;215;20146;8515
"21";"PNI";"PNI_21";0,379272;215;19185;8384
"22";"PNI";"PNI_22";0,427807;192;22864;8717
"23";"PNI";"PNI_23";0,613486;197;20636;8359
"24";"PNI";"PNI_24";0,51114;198;17349;8146
"25";"PNI";"PNI_25";0,604313;213;17453;7966
"26";"PNI";"PNI_26";0,607804;228;16997;8045
"27";"PNI";"PNI_27";0,679723;244;13995;7396
"28";"PNI";"PNI_28";0,787969;238;15257;7497
"29";"PNI";"PNI_29";0,814009;231;16130;7760
"30";"PNI";"PNI_30";0,659274;223;11852;6435
"31";"PNI";"PNI_31";0,462516;204;15468;7353
"32";"PNI";"PNI_32";1,00543;266;15995;7579
"33";"PNI";"PNI_33";0,941855;246;14201;7264
"34";"PNI";"PNI_34";0,859012;241;11753;6335
"35";"PNI";"PNI_35";0,807804;222;16855;7974
"36";"PNI";"PNI_36";1,20543;252;12776;6777
"37";"PNI";"PNI_37";1,14185;243;14781;7463
"38";"PNI";"PNI_38";1,0383;222;18756;8229
"39";"PNI";"PNI_39";1,00396;214;20585;8650
"40";"PNI";"PNI_40";1,40543;219;15292;7378
"41";"PNI";"PNI_41";1,34185;215;16082;7704
"42";"PNI";"PNI_42";1,30188;200;18837;8382
"43";"PNI";"PNI_43";1,10188;238;11465;6659
"44";"PNI";"PNI_44";0,951877;264;9707;5851
"45";"PNI";"PNI_45";0,801877;264;14666;7385
"46";"PNI";"PNI_46";0,601877;237;16189;7697
"47";"PNI";"PNI_47";0,843298;270;16350;7822
"48";"PNI";"PNI_48";1,02259;238;16266;7866
"49";"PNI";"PNI_49";1,17259;234;17589;8072
"50";"PNI";"PNI_50";1,37259;209;20239;8461
"51";"PNI";"PNI_51";1,37995;234;15057;7503
"52";"PNI";"PNI_52";1,17995;230;17109;7934
"53";"PNI";"PNI_53";1,02995;236;15125;7386
"54";"PNI";"PNI_54";0,779947;237;14532;7371
"55";"PNI";"PNI_55";0,671675;220;14600;7218
"56";"PNI";"PNI_56";0,856396;225;16169;7531
"57";"PNI";"PNI_57";1,0564;253;14721;7451
"58";"PNI";"PNI_58";1,2564;265;14259;7355
"59";"PNI";"PNI_59";1,4064;257;16467;7761
"60";"EEB";"EEB_1";0,820196;1390;20947;8526
"61";"EEB";"EEB_2";0,63778;1419;21258;8695
"62";"EEB";"EEB_3";0,57528;1693;20694;8552
"63";"EEB";"EEB_4";0,596723;1642;16188;7802
"64";"EEB";"EEB_5";0,961642;1276;17452;7964
"65";"EEB";"EEB_6";0,929703;1430;17481;7617
"66";"EEB";"EEB_7";1,04372;1243;15655;7183
"67";"EEB";"EEB_8";0,881801;1387;18169;8143
"68";"EEB";"EEB_9";0,818818;1515;17857;8210
"69";"EEB";"EEB_10";0,764236;1423;16741;8019
"70";"EEB";"EEB_11";0,962949;1339;19341;8385
"71";"EEB";"EEB_12";0,986372;1304;17263;7830
"72";"EEB";"EEB_13";0,800435;1322;16152;7673
"73";"EEB";"EEB_14";0,917102;1341;20032;8290
"74";"EEB";"EEB_15";1,15958;1176;20840;8552
"75";"EEB";"EEB_16";1,18277;1200;22207;8761
"76";"EEB";"EEB_17";1,06272;1211;16094;7598
"77";"EEB";"EEB_18";1,09328;1196;17238;7816
"78";"EEB";"EEB_19";1,13209;1154;14950;7367
"79";"EEB";"EEB_20";1,29541;1132;21395;8692
"80";"EEB";"EEB_21";0,502742;1144;22016;8815
"81";"EEB";"EEB_22";0,485161;845;18660;8347
"82";"EEB";"EEB_23";0,551348;721;17818;8083
"83";"EEB";"EEB_24";0,567077;855;17453;8092
"84";"EEB";"EEB_25";0,599889;1039;19840;8322
"85";"EEB";"EEB_26";0,496086;1165;16342;7818
"86";"EEB";"EEB_27";0,821488;1078;19617;8316
"87";"EEB";"EEB_28";1,00513;1254;17887;7968
"88";"EEB";"EEB_29";1,11618;1319;19181;8228
"89";"EEB";"EEB_30";1,2076;1368;20359;8414
"90";"EEB";"EEB_31";1,38689;1340;21232;8661
"91";"EEB";"EEB_32";0,994593;1368;21873;8750
"92";"EEB";"EEB_33";1,08103;1313;20804;8543
"93";"EEB";"EEB_34";1,23022;1265;17237;7903
"94";"EEB";"EEB_35";1,19441;1233;20276;8479
"95";"EEB";"EEB_36";1,39441;1208;21682;8718
"96";"EEB";"EEB_37";1,36651;1372;18854;8344
"97";"EEB";"EEB_38";1,42152;1270;15728;7774
"98";"EEB";"EEB_39";1,11566;1397;18665;8334
"99";"EEB";"EEB_40";1,63932;1492;16140;7688
"100";"EEB";"EEB_41";1,54085;1237;14495;7226
"101";"EEB";"EEB_42";1,70436;1386;18837;8408
"102";"EEB";"EEB_43";1,84773;1251;15880;7811
"103";"EEB";"EEB_44";1,608;1306;16558;7890
"104";"EEB";"EEB_45";1,72013;1200;13268;6688
"105";"EEB";"EEB_46";1,76501;1307;17087;8023
"106";"EEB";"EEB_47";2,01141;1308;15808;7708
"107";"EEB";"EEB_48";1,89557;1167;16122;7531
"108";"EEB";"EEB_49";2,08077;1184;17627;7932
"109";"EEB";"EEB_50";1,9089;1192;18960;8191
"110";"EEB";"EEB_51";1,66614;1218;13949;6947
"111";"EEB";"EEB_52";1,67763;1232;19465;8398
"112";"EEB";"EEB_53";1,82888;1199;20558;8594
